"#","ИД установе","Власништво","Округ","Општина","Назив установе","Подручје рада","Образовни профил","Трајање образовања","Језик наставе","Број одељења - први разред","Број комбинованих одељења - први разред","Број специјалних одељења - први разред","Број ученика - први разред","Број девојчица - први разред","Број ИОП-а 1 - први разред","Број ИОП-а 2 - први разред","Број ИОП-а 3 - први разред","Број одељења - други разред","Број комбинованих одељења - други разред","Број специјалних одељења - други разред","Број ученика - други разред","Број девојчица - други разред","Број ИОП-а 1 - други разред","Број ИОП-а 2 - други разред","Број ИОП-а 3 - други разред","Број одељења - трећи разред","Број комбинованих одељења - трећи разред","Број специјалних одељења - трећи разред","Број ученика - трећи разред","Број девојчица - трећи разред","Број ИОП-а 1 - трећи разред","Број ИОП-а 2 - трећи разред","Број ИОП-а 3 - трећи разред","Број одељења - четврти разред","Број комбинованих одељења - четврти разред","Број специјалних одељења - четврти разред","Број ученика - четврти разред","Број девојчица - четврти разред","Број ИОП-а 1 - четврти разред","Број ИОП-а 2 - четврти разред","Број ИОП-а 3 - четврти разред","Број одељења - пети разред","Број комбинованих одељења - пети разред","Број специјалних одељења - пети разред","Број ученика - пети разред","Број девојчица - пети разред","Број ИОП-а 1 - пети разред","Број ИОП-а 2 - пети разред","Број ИОП-а 3 - пети разред","Број одељења - шести разред","Број комбинованих одељења - шести разред","Број специјалних одељења - шести разред","Број ученика - шести разред","Број девојчица - шести разред","Број ИОП-а 1 - шести разред","Број ИОП-а 2 - шести разред","Број ИОП-а 3 - шести разред","Број одељења - седми разред","Број комбинованих одељења - седми разред","Број специјалних одељења - седми разред","Број ученика - седми разред","Број девојчица - седми разред","Број ИОП-а 1 - седми разред","Број ИОП-а 2 - седми разред","Број ИОП-а 3 - седми разред","Број одељења - осми разред","Број комбинованих одељења - осми разред","Број специјалних одељења - осми разред","Број ученика - осми разред","Број девојчица - осми разред","Број ИОП-а 1 - осми разред","Број ИОП-а 2 - осми разред","Број ИОП-а 3 - осми разред"
"1107.","964","Државно","Расински управни округ","Крушевац - град","Вук Караџић","Функционално образовање одраслих","Функционално образовање одраслих","6","Српски језик","13","0","0","219","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1108.","964","Државно","Расински управни округ","Крушевац - град","Вук Караџић","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","86","39","0","0","0","4","0","0","95","50","0","0","0","4","0","0","107","48","0","0","0","4","0","0","107","54","0","0","0","4","0","0","107","57","0","1","0","4","0","0","103","51","2","2","0","4","0","0","99","49","0","2","0","5","0","0","114","62","2","1","0"
"1109.","965","Државно","Расински управни округ","Крушевац - град","Доситеј Обрадовић","Основно редовно образовање","Основно образовање","8","Српски језик","5","0","0","122","56","0","0","0","5","0","0","121","64","4","0","0","5","0","0","123","52","1","0","0","5","0","0","122","61","5","0","0","5","0","0","123","65","0","1","0","5","0","0","125","61","0","0","0","5","0","0","129","64","3","0","0","5","0","0","136","72","2","1","0"
"1110.","966","Државно","Расински управни округ","Крушевац - град","Драгомир Марковић","Основно редовно образовање","Основно образовање","8","Српски језик","8","2","0","155","78","0","0","0","7","2","0","132","61","0","3","0","8","2","0","159","78","0","3","0","7","2","0","130","65","0","2","0","6","0","0","148","65","0","4","0","6","0","0","152","70","0","1","0","6","0","0","148","69","0","2","0","6","0","0","151","80","0","0","0"
"1111.","967","Државно","Расински управни округ","Крушевац - град","Станислав Бинички","Основно редовно образовање","Основно образовање","8","Српски језик","5","2","0","36","17","0","0","0","5","2","0","42","21","0","2","0","5","3","0","48","25","0","0","0","5","3","0","39","15","0","0","0","2","0","0","52","28","0","0","0","3","0","0","57","32","4","2","0","2","0","0","50","20","0","0","0","3","0","0","57","24","2","4","0"
"1112.","968","Државно","Расински управни округ","Крушевац - град","Јован Јовановић Змај","Основно редовно образовање","Основно образовање","8","Српски језик","5","2","0","65","27","0","1","0","5","2","0","83","42","0","1","0","6","2","0","67","37","4","1","0","6","3","0","79","41","3","2","0","3","0","0","81","32","4","3","0","4","0","0","98","37","0","2","0","4","0","0","92","36","0","3","0","4","0","0","91","41","1","2","0"
"1113.","969","Државно","Расински управни округ","Крушевац - град","Јован Поповић","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","100","44","0","0","0","4","0","0","99","57","0","1","0","4","0","0","91","40","1","0","0","4","0","0","106","49","1","1","0","4","0","0","100","50","1","0","0","4","0","0","105","50","0","2","0","4","0","0","101","48","1","1","1","4","0","0","105","48","0","1","0"
"1114.","970","Државно","Расински управни округ","Крушевац - град","Кнез Лазар","Основно редовно образовање","Основно образовање","8","Српски језик","4","3","0","23","13","0","0","0","4","3","0","26","12","0","0","0","4","3","0","20","10","0","1","0","4","3","0","23","8","0","0","0","2","0","0","32","12","0","0","0","2","0","0","29","14","0","2","0","2","0","0","35","17","1","0","0","2","0","0","26","9","2","2","0"
"1115.","971","Државно","Расински управни округ","Крушевац - град","Нада Поповић","Основно редовно образовање","Основно образовање","8","Српски језик","6","0","0","155","85","0","0","0","6","0","0","171","91","0","0","0","6","0","0","148","82","3","0","0","6","0","0","154","60","4","2","0","6","0","0","162","82","2","1","0","6","0","0","175","91","1","0","0","6","0","0","155","90","0","2","0","6","0","0","163","82","0","1","0"
"1116.","972","Државно","Расински управни округ","Крушевац - град","Деспот Стефан","Основно редовно образовање","Основно образовање","8","Српски језик","4","2","0","34","11","0","0","0","4","2","0","35","14","2","1","0","5","3","0","32","22","3","0","0","3","1","0","27","20","1","0","0","2","0","0","40","19","2","0","0","2","0","0","36","16","0","0","0","2","0","0","36","15","2","0","0","2","0","0","47","20","2","2","0"
