"#","ИД установе","Власништво","Округ","Општина","Назив установе","Подручје рада","Образовни профил","Трајање образовања","Језик наставе","Број одељења - први разред","Број комбинованих одељења - први разред","Број специјалних одељења - први разред","Број ученика - први разред","Број девојчица - први разред","Број ИОП-а 1 - први разред","Број ИОП-а 2 - први разред","Број ИОП-а 3 - први разред","Број одељења - други разред","Број комбинованих одељења - други разред","Број специјалних одељења - други разред","Број ученика - други разред","Број девојчица - други разред","Број ИОП-а 1 - други разред","Број ИОП-а 2 - други разред","Број ИОП-а 3 - други разред","Број одељења - трећи разред","Број комбинованих одељења - трећи разред","Број специјалних одељења - трећи разред","Број ученика - трећи разред","Број девојчица - трећи разред","Број ИОП-а 1 - трећи разред","Број ИОП-а 2 - трећи разред","Број ИОП-а 3 - трећи разред","Број одељења - четврти разред","Број комбинованих одељења - четврти разред","Број специјалних одељења - четврти разред","Број ученика - четврти разред","Број девојчица - четврти разред","Број ИОП-а 1 - четврти разред","Број ИОП-а 2 - четврти разред","Број ИОП-а 3 - четврти разред","Број одељења - пети разред","Број комбинованих одељења - пети разред","Број специјалних одељења - пети разред","Број ученика - пети разред","Број девојчица - пети разред","Број ИОП-а 1 - пети разред","Број ИОП-а 2 - пети разред","Број ИОП-а 3 - пети разред","Број одељења - шести разред","Број комбинованих одељења - шести разред","Број специјалних одељења - шести разред","Број ученика - шести разред","Број девојчица - шести разред","Број ИОП-а 1 - шести разред","Број ИОП-а 2 - шести разред","Број ИОП-а 3 - шести разред","Број одељења - седми разред","Број комбинованих одељења - седми разред","Број специјалних одељења - седми разред","Број ученика - седми разред","Број девојчица - седми разред","Број ИОП-а 1 - седми разред","Број ИОП-а 2 - седми разред","Број ИОП-а 3 - седми разред","Број одељења - осми разред","Број комбинованих одељења - осми разред","Број специјалних одељења - осми разред","Број ученика - осми разред","Број девојчица - осми разред","Број ИОП-а 1 - осми разред","Број ИОП-а 2 - осми разред","Број ИОП-а 3 - осми разред"
"136.","134","Државно","Град Београд","Београд - Савски Венац","Исидора Секулић","Основно редовно образовање","Основно образовање","8","Српски језик","2","0","0","29","14","0","1","0","2","0","0","29","9","2","0","0","2","0","0","41","21","0","0","0","2","0","0","36","21","0","1","0","2","0","0","31","16","1","1","0","1","0","0","25","8","0","0","0","2","0","0","41","13","1","0","0","2","0","0","35","15","2","0","0"
"137.","135","Државно","Град Београд","Београд - Савски Венац","Радојка Лакић","Основно редовно образовање","Основно образовање","8","Српски језик","2","0","0","42","17","2","2","0","2","0","0","35","18","0","0","0","2","0","0","31","19","0","0","0","2","0","0","35","19","1","0","0","2","0","0","36","15","1","0","0","2","0","0","37","22","1","1","0","2","0","0","40","13","3","2","0","2","0","0","34","20","0","0","0"
"138.","136","Државно","Град Београд","Београд - Савски Венац","Војвода Мишић","Основно редовно образовање","Основно образовање","8","Српски језик","2","0","0","34","17","0","0","0","2","0","0","45","22","0","0","0","2","0","0","42","16","1","0","0","2","0","0","46","26","1","0","0","2","0","0","35","16","0","0","0","2","0","0","37","14","1","0","0","2","0","0","38","14","0","0","0","2","0","0","41","16","0","1","0"
"139.","137","Државно","Град Београд","Београд - Савски Венац","Војвода Радомир Путник","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","79","31","0","0","0","3","0","0","71","35","0","0","0","3","0","0","89","55","0","0","0","4","0","0","93","39","1","1","0","3","0","0","87","43","0","0","0","3","0","0","74","39","0","0","0","3","0","0","93","47","0","0","0","4","0","0","95","49","1","0","0"
"140.","138","Државно","Град Београд","Београд - Сопот","Јелица Миловановић","Основно редовно образовање","Основно образовање","8","Српски језик","6","4","0","64","37","0","0","0","6","4","0","51","30","0","0","0","6","4","0","63","31","0","2","0","5","3","0","64","29","1","1","0","3","0","0","64","26","1","3","0","4","0","0","75","40","9","3","0","4","0","0","95","44","3","0","1","4","0","0","94","45","3","4","0"
"141.","139","Државно","Град Београд","Београд - Сопот","Цана Марјановић","Основно редовно образовање","Основно образовање","8","Српски језик","5","2","0","51","21","0","0","0","6","4","0","61","28","4","0","0","5","2","0","50","26","7","0","0","6","4","0","54","29","6","0","0","3","0","0","63","29","2","1","0","2","0","0","43","17","0","1","0","2","0","0","45","25","3","0","0","2","0","0","51","28","1","0","0"
"142.","140","Државно","Град Београд","Београд - Сопот","Милорад Мића Марковић","Основно редовно образовање","Основно образовање","8","Српски језик","3","1","0","35","21","0","0","0","3","1","0","28","9","0","0","0","3","1","0","30","14","1","0","0","3","1","0","33","17","1","0","0","2","0","0","34","15","1","0","0","2","0","0","33","19","0","2","0","3","0","0","38","20","3","1","0","2","0","0","31","12","2","1","0"
"143.","141","Државно","Град Београд","Београд - Сопот","Јанко Катић","Основно редовно образовање","Основно образовање","8","Српски језик","5","4","0","22","11","0","2","0","4","3","0","16","6","0","3","0","4","3","0","17","8","0","1","0","5","4","0","22","12","1","1","0","1","0","0","18","14","2","0","0","1","0","0","17","11","0","1","0","1","0","0","13","10","0","1","0","1","0","0","25","15","2","0","0"
"144.","142","Државно","Град Београд","Београд - Стари Град","Вук Караџић","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","92","40","0","0","0","4","0","0","109","50","1","0","0","4","0","0","95","48","0","0","0","4","0","0","82","41","9","0","0","4","0","0","92","49","2","0","0","4","0","0","88","46","4","0","0","4","0","0","96","44","1","2","0","3","0","0","63","27","1","0","0"
"145.","143","Државно","Град Београд","Београд - Стари Град","Михаило Петровић Алас","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","96","48","0","0","0","4","0","0","93","43","0","0","0","3","0","0","78","42","1","0","0","3","0","0","67","40","0","0","0","4","0","0","96","49","1","0","0","3","0","0","66","32","0","0","0","3","0","0","74","39","1","0","0","4","0","0","102","38","1","0","0"
"146.","145","Државно","Град Београд","Београд - Стари Град","Краљ Петар I","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","103","51","0","0","0","4","0","0","92","50","2","0","0","3","0","0","91","44","2","0","0","3","0","0","59","30","2","0","0","3","0","0","75","35","0","0","0","3","0","0","65","25","0","1","0","2","0","0","49","27","0","0","0","2","0","0","54","23","0","1","0"
"147.","146","Државно","Град Београд","Београд - Стари Град","Браћа Барух","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","60","28","0","1","0","3","0","0","72","30","0","0","0","3","0","0","77","41","0","2","0","3","0","0","60","35","0","0","0","3","0","0","62","31","0","0","0","2","0","0","57","23","1","0","0","3","0","0","63","25","2","0","0","2","0","0","51","24","0","0","0"
"148.","147","Државно","Град Београд","Београд - Стари Град","Скадарлија","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","73","34","2","2","0","3","0","0","67","30","2","0","0","3","0","0","62","33","0","1","0","3","0","0","61","30","3","0","0","3","0","0","59","25","3","0","0","2","0","0","43","24","0","0","1","2","0","0","45","16","0","1","0","3","0","0","68","31","1","1","0"
"149.","148","Државно","Град Београд","Београд - Стари Град","Дринка Павловић","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","109","52","0","0","0","4","0","0","117","63","0","0","0","4","0","0","108","47","0","0","0","4","0","0","116","54","0","0","0","4","0","0","109","52","0","0","0","4","0","0","118","56","0","1","0","4","0","0","105","51","0","0","0","4","0","0","115","50","0","1","0"
"150.","149","Државно","Град Београд","Београд - Чукарица","Јосиф Панчић","Основно редовно образовање","Основно образовање","8","Српски језик","6","0","0","169","86","0","0","0","6","0","0","177","85","0","0","0","6","0","0","168","76","0","1","0","6","0","0","178","84","0","1","0","6","0","0","171","86","3","1","0","6","0","0","169","78","1","3","0","6","0","0","158","67","0","0","0","6","0","0","160","76","1","4","0"
"151.","150","Државно","Град Београд","Београд - Чукарица","Бановић Страхиња","Основно редовно образовање","Основно образовање","8","Српски језик","5","0","0","140","73","0","0","0","5","0","0","141","80","0","1","0","5","0","0","138","56","3","0","0","5","0","0","131","55","0","1","0","4","0","0","112","57","0","1","0","4","0","0","108","43","2","0","0","4","0","0","114","61","0","1","0","5","0","0","131","64","1","1","0"
"152.","151","Државно","Град Београд","Београд - Чукарица","Филип Кљајић Фића","Основно редовно образовање","Основно образовање","8","Српски језик","5","0","0","122","66","0","0","0","4","0","0","99","48","0","0","0","4","0","0","105","59","0","0","0","4","0","0","96","52","0","0","0","4","0","0","105","60","0","0","0","4","0","0","96","50","2","1","0","3","0","0","84","46","0","0","0","4","0","0","97","50","0","0","0"
"153.","152","Државно","Град Београд","Београд - Чукарица","Мирослав Антић","Основно редовно образовање","Основно образовање","8","Српски језик","5","0","0","128","66","0","0","0","5","0","0","137","65","0","0","0","5","0","0","138","79","2","0","0","5","0","0","133","51","1","0","0","5","0","0","119","57","4","1","0","6","0","0","141","68","6","1","0","5","0","0","124","52","3","4","0","6","0","0","153","78","2","1","0"
"154.","153","Државно","Град Београд","Београд - Чукарица","Ђорђе Крстић","Основно редовно образовање","Основно образовање","8","Српски језик","6","0","0","151","79","0","1","0","6","0","0","189","83","0","0","0","6","0","0","163","70","0","0","0","6","0","0","152","67","2","2","0","6","0","0","152","67","6","0","0","6","0","0","143","75","6","0","0","6","0","0","165","83","1","1","0","6","0","0","169","91","0","0","1"
"155.","154","Државно","Град Београд","Београд - Чукарица","Љуба Ненадовић","Основно редовно образовање","Основно образовање","8","Српски језик","5","0","0","159","86","0","0","0","5","0","0","146","65","0","0","0","6","0","0","158","72","0","0","0","5","0","0","130","72","1","0","0","5","0","0","133","62","0","0","0","5","0","0","151","71","1","0","0","6","0","0","152","75","0","1","0","6","0","0","160","73","0","0","0"
"156.","155","Државно","Град Београд","Београд - Чукарица","Милош Црњански","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","88","40","2","0","0","3","0","0","90","49","1","0","0","3","0","0","85","36","0","0","0","3","0","0","90","48","0","0","0","3","0","0","78","36","0","0","0","3","0","0","87","54","1","0","0","3","0","0","64","33","2","0","0","2","0","0","48","15","0","0","0"
"157.","156","Државно","Град Београд","Београд - Чукарица","Уједињене нације","Основно редовно образовање","Основно образовање","8","Српски језик","7","0","0","194","87","0","0","0","7","0","0","179","73","4","0","0","7","0","0","202","101","0","1","0","6","0","0","176","83","1","0","0","6","0","0","148","73","4","0","1","7","0","0","183","81","2","1","0","6","0","0","162","74","7","3","0","7","0","0","185","80","1","1","0"
"158.","157","Државно","Град Београд","Београд - Чукарица","Стефан Дечански","Основно редовно образовање","Основно образовање","8","Српски језик","5","0","0","132","74","0","1","0","4","0","0","99","55","1","0","0","4","0","0","105","59","0","2","0","5","0","0","120","67","8","0","0","4","0","0","94","41","2","1","0","4","0","0","94","48","0","3","0","4","0","0","79","35","5","4","0","4","0","0","103","52","4","2","0"
"159.","158","Државно","Град Београд","Београд - Чукарица","Браћа Јерковић","Основно редовно образовање","Основно образовање","8","Српски језик","5","0","0","122","67","0","0","0","5","0","0","127","62","0","0","0","4","0","0","104","49","1","1","0","5","0","0","119","47","1","1","0","4","0","0","107","59","0","1","0","5","0","0","122","47","4","3","0","4","0","0","113","56","2","1","0","4","0","0","108","45","0","0","0"
"160.","159","Државно","Град Београд","Београд - Чукарица","Доситеј Обрадовић","Основно редовно образовање","Основно образовање","8","Српски језик","2","0","0","52","32","0","0","0","2","0","0","52","24","0","0","0","3","0","0","65","31","1","0","0","3","0","0","58","26","3","0","0","3","0","0","64","27","2","0","0","3","0","0","58","30","3","0","0","3","0","0","60","35","2","0","0","3","0","0","63","27","0","1","0"
"161.","160","Државно","Град Београд","Београд - Чукарица","Карађорђе","Основно редовно образовање","Основно образовање","8","Српски језик","2","0","0","41","16","1","0","0","2","0","0","45","20","0","0","0","2","0","0","30","13","2","0","0","2","0","0","44","16","0","0","0","2","0","0","51","23","1","0","0","2","0","0","44","21","0","0","0","2","0","0","38","16","0","0","0","2","0","0","40","14","1","0","0"
"162.","161","Државно","Град Београд","Београд - Чукарица","Вук Караџић","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","109","44","1","0","0","5","0","0","115","57","4","2","0","5","0","0","137","63","3","0","0","5","0","0","115","59","0","4","0","5","0","0","130","60","4","4","0","5","0","0","116","59","4","2","0","5","0","0","121","59","1","4","0","5","0","0","126","67","2","0","0"
"163.","162","Државно","Град Београд","Београд - Чукарица","Душко Радовић","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","67","34","1","0","0","3","0","0","71","31","0","1","0","4","0","0","88","36","5","0","0","4","0","0","110","58","4","2","0","4","0","0","94","46","3","0","0","4","0","0","90","47","3","0","0","4","0","0","99","49","5","2","0","4","0","0","83","39","6","2","0"
"164.","163","Државно","Град Београд","Београд - Чукарица","Аца Милосављевић","Основно редовно образовање","Основно образовање","8","Српски језик","2","0","0","44","16","0","0","0","2","0","0","36","12","0","1","0","2","0","0","42","21","0","1","0","1","0","0","31","16","0","1","0","2","0","0","51","21","2","2","0","2","0","0","50","24","1","4","0","2","0","0","43","23","2","2","0","3","0","0","45","20","2","6","0"
"165.","164","Државно","Град Београд","Београд - Чукарица","Бранко Радичевић","Основно редовно образовање","Основно образовање","8","Српски језик","2","0","0","37","17","0","0","0","2","0","0","44","16","0","0","0","1","0","0","25","7","0","0","0","2","0","0","33","19","0","0","0","2","0","0","37","17","0","0","0","2","0","0","39","18","1","0","0","2","0","0","37","20","0","1","0","2","0","0","30","15","3","0","0"
"166.","169","Државно","Град Београд","Београд - Земун","Сава Шумановић","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","118","69","0","0","0","5","0","0","130","59","0","0","0","5","0","0","123","56","0","0","0","5","0","0","130","63","0","2","0","5","0","0","122","63","0","1","0","4","0","0","111","51","0","0","0","4","0","0","110","60","0","0","0","4","0","0","118","48","1","2","0"
"167.","179","Државно","Град Београд","Београд - Гроцка","Милоје Васић","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","92","42","0","0","0","5","0","0","126","59","0","0","0","4","0","0","111","44","0","0","0","4","0","0","101","45","0","1","0","4","0","0","99","53","0","0","0","4","0","0","116","64","1","0","0","3","0","0","87","41","2","1","0","4","0","0","94","43","0","0","0"
"168.","185","Државно","Град Београд","Београд - Земун","Михајло Пупин","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","115","63","0","0","0","5","0","0","130","56","0","0","0","5","0","0","130","64","1","0","0","4","0","0","120","58","2","0","0","5","0","0","135","61","0","0","0","4","0","0","107","56","5","0","0","4","0","0","108","53","1","0","0","4","0","0","97","51","0","0","0"
"169.","193","Државно","Град Београд","Београд - Младеновац","Школа за основно образовање одраслих","Функционално образовање одраслих","Функционално образовање одраслих","6","Српски језик","9","1","0","135","78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"170.","194","Државно","Град Београд","Београд - Обреновац","Школа за основно образовање одраслих Обреновац","Функционално образовање одраслих","Функционално образовање одраслих","6","Српски језик","26","0","0","393","142","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"171.","195","Државно","Град Београд","Београд - Савски Венац","Школа за основно образовање одраслих Ђуро Салај","Функционално образовање одраслих","Функционално образовање одраслих","6","Српски језик","68","0","0","1104","598","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"172.","196","Државно","Град Београд","Београд - Земун","Бранко Пешић","Функционално образовање одраслих","Функционално образовање одраслих","6","Српски језик","8","0","0","121","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"173.","196","Државно","Град Београд","Београд - Земун","Бранко Пешић","Основно редовно образовање","Основно образовање","8","Српски језик","2","0","0","37","18","0","0","0","3","0","0","48","24","2","0","0","1","0","0","17","7","2","0","0","1","0","0","18","7","2","0","0","2","0","0","37","15","4","0","0","2","0","0","47","41","2","0","0","3","0","0","62","31","6","0","0","2","0","0","40","21","2","0","0"
"174.","197","Државно","Град Београд","Београд - Палилула","Школа за основно образовање одраслих Браћа Стаменковић","Функционално образовање одраслих","Функционално образовање одраслих","6","Српски језик","34","19","0","549","219","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"175.","199","Државно","Севернобанатски управни округ","Ада","Чех Карољ","Основно редовно образовање","Основно образовање","8","Мађарски језик","6","3","1","57","27","1","8","0","5","2","1","48","19","1","4","0","6","3","1","55","20","2","5","0","7","2","1","79","36","6","4","1","5","0","1","64","24","1","11","0","5","1","1","65","36","3","6","4","5","1","1","68","30","0","4","7","5","0","1","81","28","0","8","19"
"176.","199","Државно","Севернобанатски управни округ","Ада","Чех Карољ","Основно редовно образовање","Основно образовање","8","Српски језик","1","0","0","13","4","0","1","0","1","0","0","9","5","0","0","0","1","0","0","6","4","1","0","1","1","0","0","13","5","3","0","3","1","0","0","18","8","0","1","0","1","0","0","15","8","0","0","3","1","0","0","15","8","1","0","1","1","0","0","7","3","1","1","1"
"177.","200","Државно","Севернобачки управни округ","Суботица - град","Сечењи Иштван","Основно редовно образовање","Основно образовање","8","Мађарски језик","4","1","0","43","19","0","0","0","5","0","0","65","29","3","1","0","4","0","0","49","22","1","1","0","5","1","0","61","29","0","3","0","2","0","0","48","25","2","1","0","3","0","0","65","36","1","4","0","3","0","0","57","29","2","2","0","2","0","0","46","24","1","2","1"
"178.","200","Државно","Севернобачки управни округ","Суботица - град","Сечењи Иштван","Основно редовно образовање","Основно образовање","8","Српски језик","6","1","0","90","48","0","0","0","5","2","0","83","40","1","0","0","6","1","0","85","38","6","3","0","6","2","0","85","48","3","2","0","4","0","0","109","51","3","2","0","4","0","0","87","37","4","2","0","4","0","0","74","42","2","6","1","2","0","0","47","21","0","0","2"
"179.","201","Државно","Севернобачки управни округ","Суботица - град","Јован Јовановић Змај","Функционално образовање одраслих","Функционално образовање одраслих","6","Мађарски језик","2","0","0","27","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"180.","201","Државно","Севернобачки управни округ","Суботица - град","Јован Јовановић Змај","Основно редовно образовање","Основно образовање","8","Мађарски језик","1","0","0","17","6","0","0","0","1","0","0","16","6","0","0","0","1","0","0","10","2","2","0","0","1","0","0","14","5","1","1","0","1","0","0","13","9","0","0","0","1","0","0","21","11","0","1","0","1","0","0","8","1","1","0","0","1","0","0","14","6","0","0","0"
"181.","201","Државно","Севернобачки управни округ","Суботица - град","Јован Јовановић Змај","Функционално образовање одраслих","Функционално образовање одраслих","6","Српски језик","5","0","0","78","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"182.","201","Државно","Севернобачки управни округ","Суботица - град","Јован Јовановић Змај","Основно редовно образовање","Основно образовање","8","Српски језик","2","0","0","57","25","0","0","0","3","0","0","66","41","0","0","0","3","0","0","64","33","7","0","0","3","0","0","73","40","4","0","0","2","0","0","62","34","0","0","0","2","0","0","50","26","1","2","0","2","0","0","47","23","0","1","0","3","0","0","64","34","0","0","0"
"183.","202","Државно","Севернобачки управни округ","Суботица - град","Јован Микић","Основно редовно образовање","Основно образовање","8","Мађарски језик","1","0","0","14","10","0","0","0","1","0","0","15","10","0","0","0","2","0","0","31","11","1","0","0","1","0","0","13","5","1","0","0","1","0","0","12","7","1","0","0","1","0","0","18","12","1","0","0","1","0","0","19","7","1","0","0","1","0","0","15","9","0","0","0"
"184.","202","Државно","Севернобачки управни округ","Суботица - град","Јован Микић","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","66","34","1","0","0","3","0","0","82","49","1","0","0","3","0","0","81","43","1","0","0","3","0","0","85","40","1","0","0","3","0","0","70","40","1","2","0","3","0","0","61","36","3","0","4","3","0","0","71","38","1","1","3","3","0","0","85","46","0","0","2"
"185.","203","Државно","Севернобачки управни округ","Суботица - град","Кизур Иштван","Основно редовно образовање","Основно образовање","8","Мађарски језик","1","0","0","17","6","0","0","0","1","0","0","18","10","0","0","0","1","0","0","23","11","0","0","0","1","0","0","22","11","0","0","0","1","0","0","27","16","0","0","0","1","0","0","22","14","0","0","0","1","0","0","15","8","0","0","0","1","0","0","26","14","0","0","0"
"186.","203","Државно","Севернобачки управни округ","Суботица - град","Кизур Иштван","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","71","38","0","1","0","3","0","0","62","33","0","0","0","3","0","0","62","31","0","0","0","3","0","0","63","30","0","0","0","3","0","0","71","38","0","0","0","3","0","0","74","34","0","0","0","3","0","0","75","39","1","1","0","3","0","0","70","36","0","0","0"
"187.","204","Државно","Севернобачки управни округ","Суботица - град","Матко Вуковић","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","66","29","3","0","0","4","0","0","75","38","0","0","0","4","0","0","76","36","0","0","0","4","0","0","74","40","0","0","0","3","0","0","79","35","3","0","0","3","0","0","73","38","2","3","0","3","0","0","62","27","0","2","1","3","0","0","71","33","0","2","0"
"188.","204","Државно","Севернобачки управни округ","Суботица - град","Матко Вуковић","Основно редовно образовање","Основно образовање","8","Хрватски језик","1","0","0","10","5","0","0","0","1","0","0","12","5","0","0","0","1","0","0","12","7","0","0","0","1","0","0","15","6","0","0","0","1","0","0","15","8","0","0","0","1","0","0","12","6","1","0","1","1","0","0","20","10","0","0","0","1","0","0","13","7","1","0","0"
"189.","205","Државно","Севернобачки управни округ","Суботица - град","Соња Маринковић","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","104","49","0","0","0","5","0","0","128","66","3","0","0","4","0","0","90","42","0","1","0","4","0","0","92","43","2","0","0","4","0","0","94","47","2","0","0","4","0","0","100","58","2","0","0","4","0","0","88","37","1","2","0","4","0","0","89","43","1","3","0"
"190.","206","Државно","Севернобачки управни округ","Суботица - град","10. октобар","Основно редовно образовање","Основно образовање","8","Мађарски језик","1","0","0","20","6","0","0","0","1","0","0","16","6","1","0","0","1","0","0","22","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"191.","206","Државно","Севернобачки управни округ","Суботица - град","10. октобар","Основно редовно образовање","Основно образовање","8","Мађарско-немачки","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","25","12","1","0","0","1","0","0","16","7","0","0","0","1","0","0","27","11","0","0","6","1","0","0","20","11","0","0","4","1","0","0","15","7","1","0","2"
"192.","206","Државно","Севернобачки управни округ","Суботица - град","10. октобар","Основно редовно образовање","Основно образовање","8","Српски језик","1","0","0","29","19","0","0","0","1","0","0","22","10","0","0","0","1","0","0","27","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"193.","206","Државно","Севернобачки управни округ","Суботица - град","10. октобар","Основно редовно образовање","Основно образовање","8","Српско-немачки","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","28","18","0","0","0","1","0","0","22","12","0","0","0","1","0","0","28","23","1","0","0","1","0","0","27","14","0","0","4","1","0","0","31","14","2","0","6"
"194.","207","Државно","Севернобачки управни округ","Суботица - град","Мајшански пут","Основно редовно образовање","Основно образовање","8","Мађарски језик","1","0","0","24","13","0","0","0","2","0","0","35","13","0","0","0","2","0","0","34","19","0","0","0","2","0","0","30","17","4","0","0","2","0","0","33","15","1","2","0","2","0","0","37","19","0","0","0","2","0","0","35","17","3","1","0","2","0","0","47","22","0","0","0"
"195.","207","Државно","Севернобачки управни округ","Суботица - град","Мајшански пут","Основно редовно образовање","Основно образовање","8","Српски језик","2","0","0","42","23","0","0","0","2","0","0","49","21","1","1","0","2","0","0","39","13","2","2","0","2","0","0","39","18","1","1","0","2","0","0","39","22","2","1","0","2","0","0","49","20","1","3","0","2","0","0","48","21","0","1","0","2","0","0","38","17","1","0","0"
"196.","208","Државно","Севернобачки управни округ","Суботица - град","Свети Сава","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","66","26","0","0","0","4","0","0","63","34","5","3","0","4","0","0","72","32","4","3","0","4","0","0","69","28","4","1","0","3","0","0","65","27","1","1","0","3","0","0","70","27","2","1","0","3","0","0","76","31","1","3","0","3","0","0","67","35","0","2","0"
"197.","208","Државно","Севернобачки управни округ","Суботица - град","Свети Сава","Основно редовно образовање","Основно образовање","8","Хрватски језик","0","0","0","0","0","0","0","0","1","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"198.","209","Државно","Севернобачки управни округ","Суботица - град","Петефи Шандор","Основно редовно образовање","Основно образовање","8","Мађарски језик","3","1","0","27","15","0","0","0","3","1","0","24","12","1","1","0","3","1","0","31","13","2","0","0","3","1","0","33","14","1","0","0","2","0","0","33","14","2","0","0","2","0","0","30","20","0","1","0","2","0","0","24","10","1","0","1","2","0","0","36","13","0","0","3"
"199.","210","Државно","Севернобачки управни округ","Суботица - град","Пионир","Основно редовно образовање","Основно образовање","8","Српски језик","1","0","0","17","10","0","0","0","1","0","0","12","6","0","0","0","1","0","0","20","10","0","1","0","1","0","0","12","3","0","0","0","1","0","0","17","9","0","1","0","1","0","0","19","7","0","0","0","1","0","0","17","7","0","2","0","1","0","0","22","12","0","0","0"
"200.","211","Државно","Севернобачки управни округ","Суботица - град","Хуњади Јанош","Основно редовно образовање","Основно образовање","8","Мађарски језик","3","1","1","39","21","0","1","0","4","1","1","55","19","0","7","0","4","1","1","60","31","1","8","0","4","1","1","55","26","0","10","0","3","0","0","51","21","0","6","0","3","0","0","60","31","2","4","0","2","0","0","37","19","0","1","0","3","0","0","57","27","2","2","0"
"201.","211","Државно","Севернобачки управни округ","Суботица - град","Хуњади Јанош","Основно редовно образовање","Основно образовање","8","Српски језик","2","2","0","7","3","0","0","0","2","2","0","12","7","0","0","0","2","2","0","8","5","0","0","0","2","2","0","12","10","0","0","0","1","0","0","10","6","0","0","0","1","0","0","4","2","0","0","0","1","0","0","9","5","0","0","0","1","0","0","11","8","0","0","0"
"202.","212","Државно","Севернобачки управни округ","Суботица - град","Матија Губец","Основно редовно образовање","Основно образовање","8","Српски језик","3","1","0","22","9","0","0","0","3","1","0","21","7","0","0","0","3","1","0","26","16","0","1","0","3","1","0","30","18","0","4","0","1","0","0","26","15","0","0","0","2","0","0","35","17","0","3","0","2","0","0","37","22","0","0","0","2","0","0","35","20","0","1","0"
